Loyalty Number,Recency_Last_Flight,Recency_Last_Redeem,Total_Flights_2017,Total_Distance_2017,Points_Earned_2017,Points_Redeemed_2017,Dollar_Redeemed_2017,Active_Months_2017,Had_Outlier_Flight,Avg_Flights_Per_Month,Avg_Flights_Per_Active_Month,Redemption_Rate_2017,Never_Flew_2017,Has_Redeemed_2017,H1_Flights,H2_Flights,Flight_Trend_Abs,Flight_Trend_Pct,Seasonality_Index,CLV,Salary_Imputed,Education_Encoded,Loyalty_Card_Encoded,Tenure_Months,Salary_Was_Missing,Salary_Was_College_Missing,Churned,Zero_Activity_2018,Formal_Cancel
932823,0.0,6.0,25.0,45739.0,45739.0,499.0,90.0,9,0,2.0833333333333335,2.7777777777777777,0.010909726928879074,0,1,8.0,17.0,9.0,1.0,1.44,3863.31,66444.0,3,1,45,0,0,0,0,0
144514,0.0,12.0,12.0,16970.0,16970.0,0.0,0.0,5,0,1.0,2.4,0.0,0,0,3.0,9.0,6.0,1.5,1.6666666666666667,3864.78,49618.0,3,1,30,0,0,0,0,0
611765,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3867.97,90175.0,3,1,11,0,0,0,0,0
988178,0.0,6.0,38.0,55010.0,55010.0,679.0,122.0,12,0,3.1666666666666665,3.1666666666666665,0.012343210325395383,0,1,23.0,15.0,-8.0,-0.3333333333333333,1.368421052631579,3871.07,73455.0,2,1,62,1,1,0,0,0
286114,0.0,8.0,14.0,19232.0,19232.0,1165.0,209.0,6,0,1.1666666666666667,2.3333333333333335,0.0605761231281198,0,1,3.0,11.0,8.0,2.0,2.0,3872.22,73455.0,2,1,25,1,1,0,0,0
205785,0.0,2.0,27.0,40831.0,40831.0,1233.0,222.0,9,0,2.25,3.0,0.030197643947001054,0,1,11.0,16.0,5.0,0.4166666666666667,1.7777777777777777,3873.65,128118.0,4,1,28,0,0,0,0,0
735304,0.0,8.0,9.0,16132.0,16132.0,608.0,109.0,6,0,0.75,1.5,0.037689065212000994,0,1,3.0,6.0,3.0,0.75,2.2222222222222223,3873.65,128118.0,4,1,24,0,0,0,0,0
438936,0.0,12.0,29.0,37432.0,37432.0,0.0,0.0,9,0,2.4166666666666665,3.2222222222222223,0.0,0,0,14.0,15.0,1.0,0.06666666666666667,1.3793103448275863,3878.77,94092.0,3,1,62,0,0,0,0,0
354730,1.0,12.0,20.0,36872.0,36872.0,0.0,0.0,8,0,1.6666666666666667,2.5,0.0,0,0,11.0,9.0,-2.0,-0.16666666666666666,1.6,3885.46,73455.0,2,1,39,1,1,1,1,1
413741,1.0,2.0,22.0,42474.0,42474.0,1410.0,253.0,8,0,1.8333333333333333,2.75,0.033196779206102554,0,1,8.0,14.0,6.0,0.6666666666666666,1.8181818181818181,3885.46,73455.0,2,1,41,1,1,0,0,0
552965,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3885.46,73455.0,2,1,1,1,1,0,0,0
642313,0.0,1.0,19.0,23282.0,23282.0,1506.0,271.0,8,0,1.5833333333333333,2.375,0.06468516450476763,0,1,9.0,10.0,1.0,0.1,1.263157894736842,3885.46,73455.0,2,1,33,1,1,0,0,0
263080,2.0,12.0,14.0,16998.0,16998.0,0.0,0.0,4,0,1.1666666666666667,3.5,0.0,0,0,8.0,6.0,-2.0,-0.2222222222222222,2.2857142857142856,3886.5,73455.0,2,1,55,1,1,0,0,0
109767,0.0,3.0,19.0,31203.0,31203.0,1151.0,207.0,11,0,1.5833333333333333,1.7272727272727273,0.036887478768067174,0,1,9.0,10.0,1.0,0.1,1.4736842105263157,3886.65,89062.0,3,1,31,0,0,0,0,0
217754,4.0,12.0,20.0,33727.0,33727.0,0.0,0.0,7,0,1.6666666666666667,2.857142857142857,0.0,0,0,11.0,9.0,-2.0,-0.16666666666666666,1.8,3887.32,102400.0,3,1,42,0,0,0,0,0
157005,1.0,12.0,28.0,36212.0,36212.0,0.0,0.0,11,0,2.3333333333333335,2.5454545454545454,0.0,0,0,15.0,13.0,-2.0,-0.125,1.5714285714285714,3890.87,98629.0,3,1,26,0,0,0,0,0
557752,0.0,12.0,5.0,11255.0,11255.0,0.0,0.0,1,0,0.4166666666666667,5.0,0.0,0,0,0.0,5.0,5.0,5.0,4.0,3890.87,98629.0,3,1,14,0,0,0,0,0
608758,0.0,12.0,13.0,24928.0,24928.0,0.0,0.0,7,0,1.0833333333333333,1.8571428571428572,0.0,0,0,6.0,7.0,1.0,0.14285714285714285,1.5384615384615385,3890.96,63795.0,3,1,65,0,0,0,0,0
599341,0.0,1.0,37.0,68642.0,68642.0,983.0,177.0,12,0,3.0833333333333335,3.0833333333333335,0.01432067830191428,0,1,12.0,25.0,13.0,1.0,1.4054054054054055,3891.54,54890.0,3,1,37,0,0,0,0,0
333502,1.0,12.0,14.0,19704.0,19704.0,0.0,0.0,4,0,1.1666666666666667,3.5,0.0,0,0,3.0,11.0,8.0,2.0,2.5714285714285716,3891.58,73455.0,2,1,57,1,1,0,0,0
403361,1.0,12.0,3.0,6183.0,6183.0,0.0,0.0,1,0,0.25,3.0,0.0,0,0,0.0,3.0,3.0,3.0,4.0,3895.03,70222.0,3,1,14,0,0,0,0,0
543918,0.0,2.0,30.0,41922.0,41922.0,1987.0,357.0,10,0,2.5,3.0,0.04739754782691665,0,1,11.0,19.0,8.0,0.6666666666666666,1.6,3896.57,40736.0,1,1,73,0,0,0,0,0
806030,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3903.47,75861.0,3,1,7,0,0,0,0,0
119200,0.0,12.0,10.0,14956.0,14956.0,0.0,0.0,4,0,0.8333333333333334,2.5,0.0,0,0,5.0,5.0,0.0,0.0,2.0,3903.8,69835.0,3,1,19,0,0,0,0,0
238119,0.0,12.0,25.0,38650.0,38650.0,0.0,0.0,8,0,2.0833333333333335,3.125,0.0,0,0,12.0,13.0,1.0,0.07692307692307693,1.44,3906.67,75980.0,3,1,67,0,0,0,0,0
730388,0.0,12.0,23.0,34172.0,34172.0,0.0,0.0,8,0,1.9166666666666667,2.875,0.0,0,0,10.0,13.0,3.0,0.2727272727272727,1.391304347826087,3907.03,73455.0,2,1,79,1,1,0,0,0
834891,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3911.12,54460.0,3,1,1,0,0,1,1,1
127400,0.0,11.0,13.0,15098.0,15098.0,528.0,95.0,5,0,1.0833333333333333,2.6,0.034971519406543916,0,1,3.0,10.0,7.0,1.75,1.8461538461538463,3914.72,73455.0,2,1,54,1,1,0,0,0
324557,1.0,5.0,16.0,25904.0,25904.0,645.0,116.0,8,0,1.3333333333333333,2.0,0.02489962940086473,0,1,4.0,12.0,8.0,1.6,2.0,3914.72,73455.0,2,1,70,1,1,0,0,0
742002,2.0,12.0,13.0,23503.0,23503.0,0.0,0.0,4,0,1.0833333333333333,3.25,0.0,0,0,9.0,4.0,-5.0,-0.5,2.1538461538461537,3915.8,73455.0,2,1,31,1,1,0,0,0
536567,0.0,12.0,23.0,28799.0,28799.0,0.0,0.0,7,0,1.9166666666666667,3.2857142857142856,0.0,0,0,4.0,19.0,15.0,3.0,2.0869565217391304,3919.37,80697.0,3,1,31,0,0,0,0,0
704835,0.0,2.0,18.0,26459.0,26459.0,963.0,173.0,7,0,1.5,2.5714285714285716,0.036395933330813715,0,1,6.0,12.0,6.0,0.8571428571428571,1.7777777777777777,3919.37,80697.0,3,1,27,0,0,0,0,0
733338,11.0,12.0,3.0,4497.0,4497.0,0.0,0.0,1,0,0.25,3.0,0.0,0,0,3.0,0.0,-3.0,-0.75,4.0,3919.37,80697.0,3,1,8,0,0,1,1,1
758635,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3919.37,80697.0,3,1,6,0,0,0,0,0
823048,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3919.37,80697.0,3,1,7,0,0,0,0,0
612905,1.0,2.0,17.0,26824.0,26824.0,569.0,102.0,7,0,1.4166666666666667,2.4285714285714284,0.021212347151804353,0,1,6.0,11.0,5.0,0.7142857142857143,1.6470588235294117,3920.51,73455.0,2,1,46,1,1,0,0,0
679908,1.0,9.0,24.0,39398.0,39398.0,535.0,96.0,9,0,2.0,2.6666666666666665,0.013579369511142697,0,1,17.0,7.0,-10.0,-0.5555555555555556,1.8333333333333333,3921.02,77601.0,3,1,40,0,0,0,0,0
704150,0.0,9.0,19.0,23665.0,23665.0,409.0,74.0,8,0,1.5833333333333333,2.375,0.017282907246989224,0,1,13.0,6.0,-7.0,-0.5,1.6842105263157894,3921.02,77601.0,3,1,50,0,0,0,0,0
869743,5.0,12.0,15.0,16548.0,16548.0,0.0,0.0,5,0,1.25,3.0,0.0,0,0,12.0,3.0,-9.0,-0.6923076923076923,2.1333333333333333,3924.42,73236.0,3,1,8,0,0,1,1,1
596179,2.0,12.0,30.0,51941.0,51941.0,0.0,0.0,9,0,2.5,3.3333333333333335,0.0,0,0,21.0,9.0,-12.0,-0.5454545454545454,1.6,3933.81,50879.0,3,1,57,0,0,0,0,0
370450,0.0,8.0,16.0,20586.0,20586.0,1382.0,249.0,6,0,1.3333333333333333,2.6666666666666665,0.06713300301175557,0,1,7.0,9.0,2.0,0.25,2.0,3934.1,62160.0,1,1,73,0,0,0,0,0
501030,0.0,12.0,17.0,19608.0,19608.0,0.0,0.0,7,0,1.4166666666666667,2.4285714285714284,0.0,0,0,4.0,13.0,9.0,1.8,2.3529411764705883,3934.71,93541.0,3,1,21,0,0,0,0,0
878633,0.0,12.0,27.0,34014.0,34014.0,0.0,0.0,7,0,2.25,3.857142857142857,0.0,0,0,17.0,10.0,-7.0,-0.3888888888888889,1.4814814814814814,3936.79,163974.0,5,1,60,0,0,0,0,0
285938,0.0,12.0,22.0,34494.0,34494.0,0.0,0.0,8,0,1.8333333333333333,2.75,0.0,0,0,11.0,11.0,0.0,0.0,1.6363636363636365,3939.01,75827.0,3,1,51,0,0,0,0,0
588237,1.0,8.0,23.0,22941.0,22941.0,939.0,169.0,8,0,1.9166666666666667,2.875,0.04093108408526219,0,1,14.0,9.0,-5.0,-0.3333333333333333,1.9130434782608696,3939.01,75827.0,3,1,61,0,0,0,0,0
645280,1.0,1.0,26.0,28662.0,28662.0,813.0,146.0,9,0,2.1666666666666665,2.888888888888889,0.028365082687879423,0,1,13.0,13.0,0.0,0.0,1.6923076923076923,3939.01,75827.0,3,1,72,0,0,0,0,0
864324,0.0,7.0,18.0,24458.0,24458.0,588.0,106.0,7,0,1.5,2.5714285714285716,0.024041213508872353,0,1,5.0,13.0,8.0,1.3333333333333333,1.7777777777777777,3939.01,75827.0,3,1,6,0,0,0,0,0
124678,1.0,10.0,26.0,42652.0,42652.0,304.0,55.0,9,0,2.1666666666666665,2.888888888888889,0.007127450060958455,0,1,14.0,12.0,-2.0,-0.13333333333333333,1.3846153846153846,3954.34,152955.0,5,1,66,0,0,0,0,0
186015,0.0,12.0,16.0,26002.0,26002.0,0.0,0.0,5,0,1.3333333333333333,3.2,0.0,0,0,10.0,6.0,-4.0,-0.36363636363636365,1.5,3954.34,152955.0,5,1,39,0,0,0,0,0
461108,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3954.34,152955.0,5,1,2,0,0,0,0,0
589580,0.0,0.0,27.0,49010.0,49010.0,718.0,129.0,8,0,2.25,3.375,0.014650071413997143,0,1,16.0,11.0,-5.0,-0.29411764705882354,1.3333333333333333,3954.34,152955.0,5,1,40,0,0,0,0,0
623688,0.0,4.0,28.0,48235.0,48235.0,690.0,124.0,9,0,2.3333333333333335,3.111111111111111,0.0143049652741785,0,1,15.0,13.0,-2.0,-0.125,1.1428571428571428,3954.34,152955.0,5,1,31,0,0,0,0,0
256147,0.0,2.0,26.0,42247.0,42247.0,339.0,61.0,9,0,2.1666666666666665,2.888888888888889,0.008024238407460884,0,1,13.0,13.0,0.0,0.0,1.3846153846153846,3958.0,73455.0,2,1,75,1,1,0,0,0
329382,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3961.59,73455.0,2,1,76,1,1,1,1,0
140392,2.0,3.0,15.0,15254.0,15254.0,567.0,102.0,7,0,1.25,2.142857142857143,0.03717057820899436,0,1,4.0,11.0,7.0,1.4,1.8666666666666667,3963.39,96814.0,3,1,65,0,0,0,0,0
230908,0.0,5.0,29.0,43406.0,43406.0,822.0,148.0,9,0,2.4166666666666665,3.2222222222222223,0.018937474081924158,0,1,16.0,13.0,-3.0,-0.17647058823529413,1.6551724137931034,3964.15,217538.0,5,1,79,0,0,0,0,0
972581,1.0,4.0,16.0,20391.0,20391.0,639.0,115.0,8,0,1.3333333333333333,2.0,0.03133735471531558,0,1,9.0,7.0,-2.0,-0.2,1.5,3964.53,48744.0,1,1,34,0,0,0,0,0
357549,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3964.73,76410.0,3,1,3,0,0,1,1,0
910875,5.0,12.0,8.0,18109.0,18109.0,0.0,0.0,4,0,0.6666666666666666,2.0,0.0,0,0,7.0,1.0,-6.0,-0.75,3.5,3966.13,84914.0,3,1,73,0,0,0,0,0
501704,0.0,0.0,18.0,16769.0,16769.0,2034.0,366.0,5,0,1.5,3.6,0.12129524718230067,0,1,7.0,11.0,4.0,0.5,2.0,3974.86,73455.0,2,1,67,1,1,0,0,0
529098,0.0,0.0,5.0,6230.0,6230.0,467.0,84.0,1,0,0.4166666666666667,5.0,0.07495987158908507,0,1,0.0,5.0,5.0,5.0,4.0,3974.86,73455.0,2,1,14,1,1,0,0,0
265297,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3978.67,60519.0,3,1,5,0,0,0,0,0
567875,0.0,12.0,4.0,9037.0,9037.0,0.0,0.0,3,0,0.3333333333333333,1.3333333333333333,0.0,0,0,1.0,3.0,2.0,1.0,2.0,3979.72,102457.0,3,1,19,0,0,0,0,0
688524,0.0,4.0,11.0,15613.0,15613.0,1993.0,359.0,5,0,0.9166666666666666,2.2,0.12765003522705437,0,1,5.0,6.0,1.0,0.16666666666666666,2.1818181818181817,3980.42,103862.0,3,1,69,0,0,0,0,0
269070,0.0,0.0,28.0,35858.0,35858.0,673.0,121.0,11,0,2.3333333333333335,2.5454545454545454,0.01876847565396843,0,1,14.0,14.0,0.0,0.0,1.4285714285714286,3985.32,93153.0,4,1,71,0,0,0,0,0
387705,1.0,8.0,20.0,30308.0,30308.0,472.0,85.0,6,0,1.6666666666666667,3.3333333333333335,0.015573445954863402,0,1,5.0,15.0,10.0,1.6666666666666667,1.6,3985.32,93153.0,4,1,68,0,0,0,0,0
923293,0.0,11.0,32.0,36863.0,36863.0,412.0,74.0,10,0,2.6666666666666665,3.2,0.01117651846024469,0,1,13.0,19.0,6.0,0.42857142857142855,1.875,3985.55,86793.0,3,1,30,0,0,0,0,0
789157,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3995.36,73455.0,2,1,3,1,1,0,0,0
654748,0.0,12.0,12.0,16433.0,16433.0,0.0,0.0,5,0,1.0,2.4,0.0,0,0,1.0,11.0,10.0,5.0,2.3333333333333335,3996.77,65721.0,3,1,8,0,0,1,1,1
984713,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3997.48,73455.0,2,1,4,1,1,0,0,0
114835,0.0,12.0,8.0,11280.0,11280.0,0.0,0.0,4,0,0.6666666666666666,2.0,0.0,0,0,0.0,8.0,8.0,8.0,3.5,4001.52,101354.0,4,1,17,0,0,0,0,0
328936,0.0,4.0,27.0,30411.0,30411.0,906.0,163.0,9,0,2.25,3.0,0.02979185163263293,0,1,7.0,20.0,13.0,1.625,1.7777777777777777,4005.72,53118.0,3,1,45,0,0,0,0,0
845864,2.0,5.0,26.0,32118.0,32118.0,1376.0,248.0,8,0,2.1666666666666665,3.25,0.04284202005106171,0,1,19.0,7.0,-12.0,-0.6,2.1538461538461537,4013.85,115440.0,5,1,68,0,0,0,0,0
645265,0.0,12.0,17.0,27182.0,27182.0,0.0,0.0,8,0,1.4166666666666667,2.125,0.0,0,0,11.0,6.0,-5.0,-0.4166666666666667,1.411764705882353,4013.95,73313.0,3,1,69,0,0,0,0,0
223587,0.0,1.0,10.0,18618.0,18618.0,554.0,100.0,4,0,0.8333333333333334,2.5,0.029756149962401977,0,1,0.0,10.0,10.0,10.0,3.2,4013.96,100167.0,3,1,16,0,0,0,0,0
158560,0.0,5.0,15.0,22952.0,22952.0,1250.0,225.0,6,0,1.25,2.5,0.05446148483792262,0,1,7.0,8.0,1.0,0.125,1.3333333333333333,4014.45,59262.0,3,1,36,0,0,0,0,0
417584,2.0,5.0,19.0,31357.0,31357.0,607.0,109.0,6,0,1.5833333333333333,3.1666666666666665,0.019357719169563414,0,1,10.0,9.0,-1.0,-0.09090909090909091,1.4736842105263157,4014.45,59262.0,3,1,55,0,0,0,0,0
425854,0.0,4.0,22.0,34662.0,34662.0,630.0,113.0,7,0,1.8333333333333333,3.142857142857143,0.018175523628180718,0,1,10.0,12.0,2.0,0.18181818181818182,1.6363636363636365,4016.13,39079.0,1,1,25,0,0,0,0,0
695855,1.0,9.0,15.0,24299.0,24299.0,436.0,78.0,9,0,1.25,1.6666666666666667,0.017943125231491008,0,1,9.0,6.0,-3.0,-0.3,1.8666666666666667,4019.38,73455.0,2,1,68,1,1,0,0,0
699511,1.0,12.0,20.0,30672.0,30672.0,0.0,0.0,7,0,1.6666666666666667,2.857142857142857,0.0,0,0,9.0,11.0,2.0,0.2,1.8,4019.38,73455.0,2,1,53,1,1,0,0,0
377322,0.0,5.0,27.0,55363.0,55363.0,1059.0,191.0,8,0,2.25,3.375,0.019128298683236095,0,1,15.0,12.0,-3.0,-0.1875,1.9259259259259258,4023.81,62518.0,3,1,31,0,0,0,0,0
511053,0.0,2.0,15.0,25061.0,25061.0,802.0,145.0,6,0,1.25,2.5,0.03200191532660309,0,1,9.0,6.0,-3.0,-0.3,1.3333333333333333,4023.81,62518.0,3,1,45,0,0,0,0,0
890753,0.0,0.0,5.0,10400.0,10400.0,723.0,130.0,1,0,0.4166666666666667,5.0,0.06951923076923076,0,1,0.0,5.0,5.0,5.0,4.0,4025.1,73455.0,2,1,15,1,1,0,0,0
796670,0.0,10.0,30.0,47222.0,47222.0,420.0,76.0,9,0,2.5,3.3333333333333335,0.008894159501927068,0,1,14.0,16.0,2.0,0.13333333333333333,1.3333333333333333,4035.68,47536.0,3,1,58,0,0,0,0,0
556136,0.0,7.0,18.0,17599.0,17599.0,521.0,94.0,8,0,1.5,2.25,0.029603954770157394,0,1,7.0,11.0,4.0,0.5,2.2222222222222223,4035.77,73455.0,2,1,23,1,1,0,0,0
513081,0.0,1.0,12.0,22756.0,22756.0,995.0,180.0,7,0,1.0,1.7142857142857142,0.04372473193882932,0,1,5.0,7.0,2.0,0.3333333333333333,1.6666666666666667,4037.5,98320.0,3,1,37,0,0,0,0,0
930718,0.0,1.0,26.0,29787.0,29787.0,1088.0,196.0,9,0,2.1666666666666665,2.888888888888889,0.03652600127572431,0,1,11.0,15.0,4.0,0.3333333333333333,1.5384615384615385,4037.55,63577.0,1,1,41,0,0,0,0,0
235872,0.0,0.0,26.0,41976.0,41976.0,1221.0,220.0,7,0,2.1666666666666665,3.7142857142857144,0.02908805031446541,0,1,14.0,12.0,-2.0,-0.13333333333333333,1.2307692307692308,4046.94,89057.0,5,1,69,0,0,0,0,0
881142,7.0,9.0,9.0,9859.0,9859.0,870.0,157.0,5,0,0.75,1.8,0.08824424383811745,0,1,9.0,0.0,-9.0,-0.9,2.2222222222222223,4046.94,89057.0,5,1,8,0,0,1,1,1
295147,2.0,2.0,15.0,23429.0,23429.0,968.0,174.0,5,0,1.25,3.0,0.04131631738443809,0,1,5.0,10.0,5.0,0.8333333333333334,2.1333333333333333,4048.16,99814.0,3,1,19,0,0,0,0,0
306110,0.0,6.0,10.0,14465.0,14465.0,797.0,143.0,5,0,0.8333333333333334,2.0,0.055098513653646736,0,1,6.0,4.0,-2.0,-0.2857142857142857,1.6,4053.37,64587.0,3,1,67,0,0,0,0,0
295217,0.0,7.0,10.0,19259.0,19259.0,1034.0,186.0,5,0,0.8333333333333334,2.0,0.05368918427748066,0,1,6.0,4.0,-2.0,-0.2857142857142857,2.0,4059.57,67411.0,5,1,30,0,0,0,0,0
591731,2.0,5.0,24.0,39625.0,39625.0,645.0,116.0,10,0,2.0,2.4,0.016277602523659306,0,1,15.0,9.0,-6.0,-0.375,1.3333333333333333,4064.18,51370.0,3,1,63,0,0,0,0,0
326905,2.0,12.0,19.0,24066.0,24066.0,0.0,0.0,6,0,1.5833333333333333,3.1666666666666665,0.0,0,0,10.0,9.0,-1.0,-0.09090909090909091,2.1052631578947367,4068.09,73455.0,2,1,22,1,1,0,0,0
375511,0.0,4.0,26.0,36951.0,36951.0,1084.0,195.0,9,0,2.1666666666666665,2.888888888888889,0.029336147871505507,0,1,5.0,21.0,16.0,2.6666666666666665,1.8461538461538463,4070.05,59300.0,3,1,53,0,0,0,0,0
485283,1.0,12.0,2.0,3106.0,3106.0,0.0,0.0,2,0,0.16666666666666666,1.0,0.0,0,0,0.0,2.0,2.0,2.0,4.0,4072.85,102479.0,3,1,15,0,0,0,0,0
797685,0.0,5.0,10.0,11302.0,11302.0,822.0,148.0,4,0,0.8333333333333334,2.5,0.07273049017872943,0,1,0.0,10.0,10.0,10.0,2.4,4079.13,73455.0,2,1,18,1,1,0,0,0
216467,0.0,12.0,14.0,23278.0,23278.0,0.0,0.0,7,0,1.1666666666666667,2.0,0.0,0,0,7.0,7.0,0.0,0.0,1.7142857142857142,4083.56,90995.0,5,1,53,0,0,0,0,0
958839,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,4083.56,90995.0,5,1,4,0,0,0,0,0
539673,0.0,2.0,22.0,30575.0,30575.0,498.0,90.0,8,0,1.8333333333333333,2.75,0.016287816843826654,0,1,13.0,9.0,-4.0,-0.2857142857142857,2.0,4087.51,49558.0,3,1,40,0,0,1,0,1
746226,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,4089.04,63501.0,3,1,11,0,0,0,0,0
484718,2.0,3.0,17.0,33867.0,33867.0,554.0,100.0,7,0,1.4166666666666667,2.4285714285714284,0.016358106711548116,0,1,8.0,9.0,1.0,0.1111111111111111,1.6470588235294117,4089.46,76367.0,3,1,78,0,0,0,0,0
528492,0.0,1.0,23.0,48972.0,48972.0,821.0,147.0,8,0,1.9166666666666667,2.875,0.016764681859021482,0,1,11.0,12.0,1.0,0.08333333333333333,1.7391304347826086,4090.75,60360.0,3,1,41,0,0,1,0,1
995091,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,4095.2,55454.0,3,1,15,0,0,0,0,0
632793,0.0,5.0,17.0,15913.0,15913.0,506.0,91.0,8,0,1.4166666666666667,2.125,0.03179790108716144,0,1,4.0,13.0,9.0,1.8,1.8823529411764706,4097.37,60370.0,1,1,30,0,0,0,0,0
382197,1.0,12.0,1.0,768.0,768.0,0.0,0.0,1,0,0.08333333333333333,1.0,0.0,0,0,0.0,1.0,1.0,1.0,4.0,4100.47,69367.0,3,1,8,0,0,1,0,1
705196,2.0,12.0,28.0,49630.0,49630.0,0.0,0.0,9,0,2.3333333333333335,3.111111111111111,0.0,0,0,13.0,15.0,2.0,0.14285714285714285,1.8571428571428572,4101.94,73455.0,2,1,61,1,1,0,0,0
123094,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,4103.85,92223.0,3,1,11,0,0,0,0,0
119488,0.0,12.0,13.0,13658.0,13658.0,0.0,0.0,4,0,1.0833333333333333,3.25,0.0,0,0,0.0,13.0,13.0,13.0,2.769230769230769,4108.26,73455.0,2,1,18,1,1,0,0,0
